29-4|2900364
29-5|2900365
28-0|2900367
28-1|2900368
28-2|2900369
28-3|2900370
28-4|2900371
28-5|2900372
27-0|2900374
27-1|2900375
27-2|2900376
27-3|2900377
27-4|2900378
27-5|2900379
26-0|2900381
26-1|2900382
26-2|2900383
26-3|2900384
26-4|2900385
26-5|2900386
25-0|2900388
25-1|2900389
25-2|2900390
25-3|2900391
25-4|2900392
25-5|2900393
24-0|2900395
24-1|2900396
24-2|2900397
24-3|2900398
24-4|2900399
24-5|2900400
23-0|2900402
23-1|2900403
23-2|2900404
23-3|2900405
23-4|2900406
23-5|2900407
22-0|2900409
22-1|2900410
22-2|2900411
22-3|2900412
22-4|2900413
22-5|2900414
21-0|2900416
21-1|2900417
21-2|2900418
20-0|2900420
20-1|2900421
20-2|2900422
20-3|2900423
20-4|2900424
20-5|2900425
19-0|2900427
19-1|2900428
19-2|2900429
19-3|2900430
19-4|2900431
19-5|2900432
18-0|2900434
18-1|2900435
18-2|2900436
18-3|2900437
18-4|2900438
18-5|2900439
17-0|2900441
17-1|2900442
17-2|2900443
17-3|2900444
17-4|2900445
17-5|2900446
16-0|2900448
16-1|2900449
16-2|2900450
16-3|2900451
16-4|2900452
16-5|2900453
15-0|2900455
15-1|2900456
15-2|2900457
15-3|2900458
15-4|2900459
15-5|2900460
14-0|2900462
14-1|2900463
14-2|2900464
14-3|2900465
14-4|2900466
14-5|2900467
13-0|2900469
13-1|2900470
13-2|2900471
13-3|2900472
13-4|2900473
13-5|2900474
12-0|2900476
12-1|2900477
12-2|2900478
12-3|2900479
12-4|2900480
12-5|2900481
11-0|2900483
11-1|2900484
11-2|2900485
11-3|2900486
11-4|2900487
11-5|2900488
10-0|2900490
10-1|2900491
10-2|2900492
10-3|2900493
10-4|2900494
10-5|2900495
9-0|2900497
9-1|2900498
9-2|2900499
9-3|2900500
9-4|2900501
9-5|2900502
8-0|2900504
8-1|2900505
8-2|2900506
8-3|2900507
8-4|2900508
8-5|2900509
7-0|2900511
7-1|2900512
7-2|2900513
7-3|2900514
7-4|2900515
7-5|2900516
6-0|2900518
6-1|2900519
6-2|2900520
6-3|2900521
6-4|2900522
6-5|2900523
5-0|2900525
5-1|2900526
5-2|2900527
5-3|2900528
5-4|2900529
5-5|2900530
4-0|2900532
4-1|2900533
4-2|2900534
4-3|2900535
4-4|2900536
4-5|2900537
3-0|2900539
3-1|2900540
3-2|2900541
3-3|2900542
3-4|2900543
3-5|2900544
2-0|2900546
2-1|2900547
2-2|2900548
2-3|2900549
2-4|2900550
2-5|2900551
1-0|2900553
1-1|2900554
1-2|2900555
1-3|2900556
1-4|2900557
1-5|2900558
63-0|2900560
63-1|2900561
63-2|2900562
63-3|2900563
63-4|2900564
63-5|2900565
43-24|2900566
43-25|2900567
43-26|2900568
43-27|2900569
43-28|2900570
43-29|2900571
43-30|2900572
64-0|2900574
64-1|2900575
64-2|2900576
64-3|2900577
64-4|2900578
64-5|2900579
64-6|2900580
64-7|2900581
65-0|2900583
65-1|2900584
65-2|2900585
65-3|2900586
43-31|2900587
43-32|2900588
43-33|2900589
43-34|2900590
43-35|2900591
43-36|2900592
43-37|2900593
43-38|2900594
43-39|2900595
43-40|2900596
66-0|2900598
66-1|2900599
66-2|2900600
66-3|2900601
66-4|2900602
66-5|2900603
66-6|2900604
66-7|2900605
66-8|2900606
66-9|2900607
43-41|2900608
67-0|2900610
67-1|2900611
67-2|2900612
67-3|2900613
67-4|2900614
67-5|2900615
68-0|2900617
68-1|2900618
68-2|2900619
68-3|2900620
68-4|2900621
68-5|2900622
43-42|2900623
43-43|2900624
69-0|2900626
69-1|2900627
69-2|2900628
69-3|2900629
69-4|2900630
69-5|2900631
43-44|2900632
43-45|2900633
43-46|2900634
43-47|2900635
43-48|2900636
43-49|2900637
43-50|2900638
43-51|2900639
43-52|2900640
43-53|2900641
70-0|2900643
70-1|2900644
70-2|2900645
70-3|2900646
70-4|2900647
70-5|2900648
70-6|2900649
70-7|2900650
70-8|2900651
70-9|2900652
0-53|2900653
0-54|2900654
71-0|2900656
71-1|2900657
71-2|2900658
71-3|2900659
71-4|2900660
71-5|2900661
72-0|2900663
72-1|2900664
72-2|2900665
72-3|2900666
72-4|2900667
72-5|2900668
72-6|2900669
73-0|2900671
73-1|2900672
73-2|2900673
73-3|2900674
73-4|2900675
73-5|2900676
74-0|2900678
74-1|2900679
74-2|2900680
74-3|2900681
74-4|2900682
74-5|2900683
43-54|2900684
43-55|2900685
43-56|2900686
43-57|2900687
43-58|2900688
43-59|2900689
75-0|2900691
75-1|2900692
75-2|2900693
75-3|2900694
0-55|2900695
0-56|2900696
74-6|2900697
76-0|2900699
76-1|2900700
76-2|2900701
76-3|2900702
77-0|2900704
77-1|2900705
77-2|2900706
77-3|2900707
77-4|2900708
77-5|2900709
78-0|2900711
78-1|2900712
78-2|2900713
78-3|2900714
78-4|2900715
78-5|2900716
78-6|2900717
78-7|2900718
78-8|2900719
78-9|2900720
79-0|2900722
79-1|2900723
79-2|2900724
79-3|2900725
79-4|2900726
43-60|2900727
80-0|2900729
80-1|2900730
80-2|2900731
80-3|2900732
80-4|2900733
80-5|2900734
81-0|2900735
81-1|2900736
81-2|2900737
81-3|2900738
82-0|2900739
82-1|2900740
82-2|2900741
82-3|2900742
82-4|2900743
82-5|2900744
82-6|2900745
82-7|2900746
82-8|2900747
83-0|2900748
83-1|2900749
83-2|2900750
83-3|2900751
83-4|2900752
83-5|2900753
84-0|2900754
84-1|2900755
84-2|2900756
84-3|2900757
84-4|2900758
84-5|2900759
0-57|2900760
0-58|2900761
85-0|2900762
85-1|2900763
85-2|2900764
85-3|2900765
85-4|2900766
85-5|2900767
86-0|2900768
86-1|2900769
86-2|2900770
86-3|2900771
86-4|2900772
86-5|2900773
43-61|2900774
43-62|2900775
43-63|2900776
43-64|2900777
43-65|2900778
43-66|2900779
43-67|2900780
87-0|2900781
87-1|2900782
87-2|2900783
87-3|2900784
87-4|2900785
87-5|2900786
87-6|2900787
88-0|2900788
88-1|2900789
88-2|2900790
88-3|2900791
89-0|2900792
89-1|2900793
89-2|2900794
89-3|2900795
89-4|2900796
89-5|2900797
90-0|2900798
90-1|2900799
90-2|2900800
90-3|2900801
90-4|2900802
90-5|2900803
91-0|2900804
91-1|2900805
91-2|2900806
91-3|2900807
91-4|2900808
91-5|2900809
43-68|2900810
92-0|2900811
92-1|2900812
92-2|2900813
92-3|2900814
92-4|2900815
92-5|2900816
0-59|2900817
0-60|2900818
43-69|2900819
43-70|2900820
43-71|2900821
43-72|2900822
93-0|2900823
94-0|2900824
94-1|2900825
94-2|2900826
94-3|2900827
94-4|2900828
94-5|2900829
